[2024-01-07 19:51:46,791: INFO: data_ingestion: Downloading data from https://drive.google.com/drive/folders/1fA73aHzkkT1PfSZc-d9JOB3CVF5HoaOS into file artifacts/data_ingestion/data.zip]
[2024-01-07 19:51:47,266: INFO: data_ingestion: Downloaded data from https://drive.google.com/drive/folders/1fA73aHzkkT1PfSZc-d9JOB3CVF5HoaOS into file artifacts/data_ingestion/data.zip]
[2024-01-07 19:51:47,267: ERROR: main: [Errno 2] No such file or directory: 'artifacts/data_ingestion/data.zip']
Traceback (most recent call last):
  File "main.py", line 11, in <module>
    data_ingestion.main()
  File "c:\users\prana\downloads\kidney_disease_deeplearning\src\cnnClassifier\pipeline\stage_01_data_ingestion.py", line 18, in main
    data_ingestion.extract_zip_file()
  File "c:\users\prana\downloads\kidney_disease_deeplearning\src\cnnClassifier\components\data_ingestion.py", line 46, in extract_zip_file
    with zipfile.ZipFile(self.config.local_data_file, 'r') as zip_ref:
  File "C:\Users\prana\anaconda3\envs\kidney_classification\lib\zipfile.py", line 1251, in __init__
    self.fp = io.open(file, filemode)
FileNotFoundError: [Errno 2] No such file or directory: 'artifacts/data_ingestion/data.zip'
[2024-01-07 19:52:32,542: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-01-07 19:52:32,558: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-07 19:52:32,560: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-07 19:52:32,560: INFO: common: created directory at: artifacts]
[2024-01-07 19:52:32,561: INFO: common: created directory at: artifacts/data_ingestion]
[2024-01-07 19:52:32,561: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/14t7C1KQSAqAZqrcGhbioCcE86iz25B-B/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-01-07 19:52:35,611: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/14t7C1KQSAqAZqrcGhbioCcE86iz25B-B/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-01-07 19:52:36,251: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-01-07 19:52:36,252: INFO: main: *******************]
[2024-01-07 19:52:36,252: INFO: main: >>>>>> stage Prepare base model started <<<<<<]
[2024-01-07 19:52:36,254: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-07 19:52:36,256: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-07 19:52:36,256: INFO: common: created directory at: artifacts]
[2024-01-07 19:52:36,257: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-01-07 19:52:36,695: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2024-01-07 19:52:36,933: INFO: main: >>>>>> stage Prepare base model completed <<<<<<

x==========x]
[2024-01-07 19:52:36,933: INFO: main: *******************]
[2024-01-07 19:52:36,935: INFO: main: >>>>>> stage Training started <<<<<<]
[2024-01-07 19:52:36,941: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-07 19:52:36,943: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-07 19:52:36,944: INFO: common: created directory at: artifacts]
[2024-01-07 19:52:36,945: INFO: common: created directory at: artifacts\training]
[2024-01-07 19:54:20,490: INFO: main: >>>>>> stage Training completed <<<<<<

x==========x]
